state,year,labor_force_participation_rate,employment_rate,population_with_disability
Alabama,2023,31.2,28.4,398500
Alaska,2023,42.7,39.1,72300
Arizona,2023,38.9,35.6,712400
Arkansas,2023,30.5,27.8,265800
California,2023,40.1,36.9,3612900
Colorado,2023,44.3,41.2,521600
Connecticut,2023,41.8,38.5,334700
Delaware,2023,37.6,34.2,98400
Florida,2023,36.4,33.1,2458300
Georgia,2023,38.2,34.9,1123600
Hawaii,2023,43.5,40.8,141200
Idaho,2023,41.1,38.3,178900
Illinois,2023,39.7,36.2,1256400
Indiana,2023,37.9,34.6,684500
Iowa,2023,43.2,40.5,321800
